"Export date: 4/23/2017 | Export time: 0:03",,,,,,,,,,,,
"Amazon Best Sellers",,,,,,,,,,,,
"Average Sales: --",,,,,,,,,,,,
"Average Sales Rank: --",,,,,,,,,,,,
"Average Price: --",,,,,,,,,,,,
"Average Reviews: --",,,,,,,,,,,,
,,,,,,,,,,,,,
#,Product Name,Brand,Price,Category,Rank,Est. Sales,Est. Revenue,# of Reviews,Rating,BB Seller,ASIN,Link
"1","URPOWER 2nd Version Essential Oil Diffuser, 100ml Aroma Essential Oil Cool Mist Humidifier with Adjustable Mist Mode,Waterless Auto Shut-off and 7 Color LED Lights Changing for Home Office Baby","URPOWER","$19.95","Home & Kitchen","2","8,136","$162,313","13516","4.5","FBA","B00Y2CQRZY","https://www.amazon.com/dp/B00Y2CQRZY"
"2","Brita Replacement Water Filter for Pitchers, 3 Count","Brita","$14.69","Kitchen & Dining","1","4,440","$65,224","7037","4.5","AMZ","B00004SU18","https://www.amazon.com/dp/B00004SU18"
"3","Chapin 20000 Poly Lawn and Garden Sprayer For Fertilizer, Herbicides and Pesticides, 1 Gallon","Chapin International","$9.82","Patio, Lawn & Garden","2","4,824","$47,372","3605","4.5","AMZ","B000E28UQU","https://www.amazon.com/dp/B000E28UQU"
"4","Ozeri Pronto Digital Multifunction Kitchen and Food Scale, Elegant Black","Ozeri","$11.85","Kitchen & Dining","2","3,934","$46,618","11484","4.5","AMZ","B004164SRA","https://www.amazon.com/dp/B004164SRA"
"5","Ultrasonic Cool Mist Humidifier, Anypro 3.5L Air Humidifiers with Super Quiet Operation, Variable Night Lights and Automatic Shut-off","Anypro","$54.99","Kitchen & Dining","3","3,653","$200,878","1258","4.5","FBA","B01H6Y46PW","https://www.amazon.com/dp/B01H6Y46PW"
"6","Instant Pot IP-DUO60 7-in-1 Multi-Functional Pressure Cooker, 6Qt/1000W","Instant Pot","$99.99","Kitchen & Dining","4","3,459","$345,865","18310","4.5","AMZ","B00FLYWNYQ","https://www.amazon.com/dp/B00FLYWNYQ"
"7","Pyrex 3-Piece Glass Measuring Cup Set","Pyrex","$12.61","Kitchen & Dining","5","3,313","$41,777","4721","4.5","AMZ","B00M2J7PCI","https://www.amazon.com/dp/B00M2J7PCI"
"8","BLACK + DECKER CHV1410L 16V Cordless Lithium Hand Vac","N.A.","$50.09","Home & Kitchen","9","6,089","$304,998","11284","4.5","AMZ","B006LXOJC0","https://www.amazon.com/dp/B006LXOJC0"
"9","BLACK+DECKER AF-100-3ZP 30ft 0.065 Line String Trimmer Replacement Spool, 3-Pack","N.A.","$12.99","Patio, Lawn & Garden","3","4,439","$57,663","1751","4.5","FBA","B00004R9TL","https://www.amazon.com/dp/B00004R9TL"
"10","iRobot Roomba 650 Robotic Vacuum Cleaner","N.A.","$281.21","Home & Kitchen","11","5,838","$1,641,704","4478","4.5","AMZ","B008LX6OC6","https://www.amazon.com/dp/B008LX6OC6"
"11","Radha Beauty Essential Oil Diffuser 7 colors - 120 ml Cool Mist Aroma Humidifier for Aromatherapy with changing Colored LED Lights, Portable, Waterless Auto Shut-off and Adjustable Mist mode","Radha Beauty","$19.95","Home & Kitchen","12","5,731","$114,333","6755","4.5","FBA","B014SF6MBI","https://www.amazon.com/dp/B014SF6MBI"
"12","KRUPS F203 Electric Spice and Coffee Grinder with Stainless Steel Blades, 3-Ounce, Black","KRUPS","$18.94","Kitchen & Dining","6","3,196","$60,532","10043","4.5","AMZ","B00004SPEU","https://www.amazon.com/dp/B00004SPEU"
"13","AmazonBasics Velvet Suit Hangers - 50 Pack, Black","N.A.","$18.99","Home & Kitchen","14","5,544","$105,281","2882","4.5","AMZ","B00FXNAAW2","https://www.amazon.com/dp/B00FXNAAW2"
"14","O-Cedar EasyWring Microfiber Spin Mop and Bucket Floor Cleaning System","O-Cedar","$33.88","Home & Kitchen","15","5,461","$185,019","3744","4.5","FBA","B00WSWGVZQ","https://www.amazon.com/dp/B00WSWGVZQ"
"15","4 Reusable Single Cup Keurig Solo Filter Pod Coffee Stainless Mesh (iPartsPlusMore","iPartsPlusMore","$8.96","Kitchen & Dining","7","3,098","$27,758","1207","4","FBA","B00LGEKOMS","https://www.amazon.com/dp/B00LGEKOMS"
"16","BISSELL 9595A Vacuum with OnePass - Corded","N.A.","$89.99","Home & Kitchen","17","5,312","$478,027","9185","4.5","AMZ","B00AZBIZTW","https://www.amazon.com/dp/B00AZBIZTW"
"17","Ortho Snake B Gon Snake Repellent Granules, 2-Pound (Not Sold in AK)","Ortho","$8.48","Patio, Lawn & Garden","4","4,176","$35,412","351","4","AMZ","B009QAPKL4","https://www.amazon.com/dp/B009QAPKL4"
"18","Queen Size SafeRest Premium Hypoallergenic Waterproof Mattress Protector - Vinyl Free","SafeRest","$29.95","Home & Kitchen","19","5,182","$155,201","22568","4.5","FBA","B003PWNH4Q","https://www.amazon.com/dp/B003PWNH4Q"
"19","Sun Joe SPX3000 Pressure Joe 2030 PSI 1.76 GPM 14.5-Amp Electric Pressure Washer","Snow Joe","$148.74","Patio, Lawn & Garden","5","3,977","$591,539","3433","4.5","AMZ","B00CPGMUXW","https://www.amazon.com/dp/B00CPGMUXW"