"Export date: 4/23/2017 | Export time: 0:05",,,,,,,,,,,,
"Amazon Best Sellers",,,,,,,,,,,,
"Average Sales: --",,,,,,,,,,,,
"Average Sales Rank: --",,,,,,,,,,,,
"Average Price: --",,,,,,,,,,,,
"Average Reviews: --",,,,,,,,,,,,
,,,,,,,,,,,,,
#,Product Name,Brand,Price,Category,Rank,Est. Sales,Est. Revenue,# of Reviews,Rating,BB Seller,ASIN,Link
"1","Scotch Heavy Duty Shipping Packaging Tape, 1.88 Inches x 800 Inches, 6 Rolls with Dispenser (142-6)","Scotch","$9.60","Office Products","1","10,890","$104,544","2331","4.5","AMZ","B000J07BRQ","https://www.amazon.com/dp/B000J07BRQ"
"2","Georgia-Pacific Spectrum Standard 92 Multipurpose Paper, 8.5 x 11 Inches, 1 box of 3 packs (1500 Sheets) (998606)","Georgia-Pacific","$14.99","Office Products","2","9,528","$142,825","4982","4.5","AMZ","B00BB5DJU6","https://www.amazon.com/dp/B00BB5DJU6"
"3","HP 61 Black & Tri-color Original Ink Cartridges, 2 pack (CR259FN)","N.A.","$30.99","Office Products","3","8,774","$271,906","5184","4.5","AMZ","B003YT6RNS","https://www.amazon.com/dp/B003YT6RNS"
"4","HP 61 Black Original Ink Cartridge (CH561WN)","N.A.","$13.99","Office Products","4","8,257","$115,515","4200","4.5","AMZ","B003H2GBM4","https://www.amazon.com/dp/B003H2GBM4"
"5","Elmer's Liquid School Glue, Washable, 1 Gallon, 1 Count","Elmer's","N.A.","Office Products","5","7,867","N.A.","1471","4.5","N.A.","B0006HUJJO","https://www.amazon.com/dp/B0006HUJJO"
"6","Elmer's Glue-All Multi-Purpose Liquid Glue, Extra Strong, 1 Gallon, 1 Count","Elmers","$15.99","Office Products","6","7,556","$120,820","439","4.5","AMZ","B0038DZZJC","https://www.amazon.com/dp/B0038DZZJC"
"7","HP 63 Black & Tri-color Original Ink Cartridges, 2 Count  (L0R46AN)","N.A.","$31.99","Office Products","7","7,298","$233,463","955","4.5","AMZ","B00WR23VRI","https://www.amazon.com/dp/B00WR23VRI"
"8","Brother Printer TN660 High Yield Toner","Brother","$44.88","Office Products","8","7,077","$317,616","1683","4.5","AMZ","B00LJO8EQS","https://www.amazon.com/dp/B00LJO8EQS"
"9","HP 951 Ink Cartridge, Cyan/Magenta/Yellow, 3-Pack (CR314FN)","N.A.","$45.03","Office Products","9","6,886","$310,077","1166","4.5","AMZ","B005BZNE2A","https://www.amazon.com/dp/B005BZNE2A"
"10","HP 950XL Black High Yield Original Ink Cartridge (CN045AN)","N.A.","$30.99","Office Products","10","6,717","$208,160","996","4.5","AMZ","B005BZNEMK","https://www.amazon.com/dp/B005BZNEMK"
"11","Brother TN450  High Yield Black Toner - Retail Packaging","Brother","$44.88","Office Products","11","6,566","$294,682","4398","4.5","AMZ","B003YFHCKY","https://www.amazon.com/dp/B003YFHCKY"
"12","Prismacolor Premier Colored Pencils, Soft Core, 24-Count","Prismacolor","$11.48","Office Products","12","6,429","$73,805","2072","4.5","AMZ","B00006IEEU","https://www.amazon.com/dp/B00006IEEU"
"13","Duck Brand Bubble Wrap Original Cushioning, 12-Inches x 150-Feet, Single Roll (284054)","Duck","$16.88","Office Products","13","6,305","$106,428","1674","4.5","AMZ","B00D3AFMT8","https://www.amazon.com/dp/B00D3AFMT8"
"14","Pilot G2 Retractable Premium Gel Ink Roller Ball Pens, Fine Point, Black, 12-Pack (31020)","Pilot","$11.89","Office Products","14","6,191","$73,611","6006","4.5","AMZ","B001GAOTSW","https://www.amazon.com/dp/B001GAOTSW"
"15","Sharpie Permanent Markers, Fine Point, Black, 12 Count (Pack of 12)","Sharpie","$6.28","Office Products","15","6,086","$38,220","2242","5","AMZ","B00006IFHD","https://www.amazon.com/dp/B00006IFHD"
"16","Sharpie Permanent Markers, Fine Point, Black, 12 Count (Pack of 12)","Sharpie","$6.28","Office Products","15","6,086","$38,220","2242","5","AMZ","B00006IFHD","https://www.amazon.com/dp/B00006IFHD"
"17","Brother TZE2312PK 1/2-inch Standard Laminated P-Touch Tape, Black on White, 26.2 Feet (2-Pack)","Brother","$17.74","Office Products","16","5,988","$106,227","1964","4.5","AMZ","B017RCO1JY","https://www.amazon.com/dp/B017RCO1JY"
"18","Brother TZE2312PK 1/2-inch Standard Laminated P-Touch Tape, Black on White, 26.2 Feet (2-Pack)","Brother","$17.74","Office Products","16","5,988","$106,227","1964","4.5","AMZ","B017RCO1JY","https://www.amazon.com/dp/B017RCO1JY"
"19","Scotch Heavy Duty Shipping Packaging Tape, 1.88 x 800 Inches (142)","Scotch","$2.78","Office Products","17","5,897","$16,394","798","4.5","AMZ","B003W0P2SA","https://www.amazon.com/dp/B003W0P2SA"
"20","Scotch Heavy Duty Shipping Packaging Tape, 1.88 x 800 Inches (142)","Scotch","$2.78","Office Products","17","5,897","$16,394","798","4.5","AMZ","B003W0P2SA","https://www.amazon.com/dp/B003W0P2SA"
"21","HP 62XL Black High Yield Original Ink Cartridge (C2P05AN)","N.A.","$29.99","Office Products","18","5,812","$174,302","458","4.5","AMZ","B00L1G7LBI","https://www.amazon.com/dp/B00L1G7LBI"
"22","HP 62XL Black High Yield Original Ink Cartridge (C2P05AN)","N.A.","$29.99","Office Products","18","5,812","$174,302","458","4.5","AMZ","B00L1G7LBI","https://www.amazon.com/dp/B00L1G7LBI"
"23","HP 62 Black & Tri-color Original Ink Cartridges,(N9H64FN)","N.A.","$29.93","Office Products","19","5,733","$171,589","560","4","AMZ","B01644VWZM","https://www.amazon.com/dp/B01644VWZM"
"24","HP 62 Black & Tri-color Original Ink Cartridges,(N9H64FN)","N.A.","$29.93","Office Products","19","5,733","$171,589","560","4","AMZ","B01644VWZM","https://www.amazon.com/dp/B01644VWZM"
"25","Dust-Off Disposable Compressed Gas Duster, 10 oz Cans, 2 Pack","Dust-Off","$13.59","Office Products","20","5,657","$76,879","270","4.5","AMZ","B00FZYT278","https://www.amazon.com/dp/B00FZYT278"
"26","Dust-Off Disposable Compressed Gas Duster, 10 oz Cans, 2 Pack","Dust-Off","$13.59","Office Products","20","5,657","$76,879","270","4.5","AMZ","B00FZYT278","https://www.amazon.com/dp/B00FZYT278"