"Export date: 4/23/2017 | Export time: 0:00",,,,,,,,,,,,
"Amazon Best Sellers",,,,,,,,,,,,
"Average Sales: --",,,,,,,,,,,,
"Average Sales Rank: --",,,,,,,,,,,,
"Average Price: --",,,,,,,,,,,,
"Average Reviews: --",,,,,,,,,,,,
,,,,,,,,,,,,,
#,Product Name,Brand,Price,Category,Rank,Est. Sales,Est. Revenue,# of Reviews,Rating,BB Seller,ASIN,Link
"1","AMILIFE EDC Fidget Spinner High Speed Stainless Steel Bearing ADHD Focus Anxiety Relief Toys","AMILIFE","$3.07","Toys & Games","1","8,399","$25,785","224","3","Merch","B01N9PIC2S","https://www.amazon.com/dp/B01N9PIC2S"
"2","GongFu Star Fidget Spinner Toy Time Killer Perfect to relieve ADHD Anxiety Reduce Stress Helps Focus (White, Fidget Spinner)","GongFu Star","$2.13","Toys & Games","2","7,393","$15,747","91","3.5","Merch","B06Y6KTBFJ","https://www.amazon.com/dp/B06Y6KTBFJ"
"3","Balai Fidget Toy Hand Spinner Camouflage, Stress Reducer Relieve Anxiety and Boredom Camo (Flag Color)","Balai","$4.36","Toys & Games","3","6,834","$29,796","10","5","Merch","B06XX2N7CJ","https://www.amazon.com/dp/B06XX2N7CJ"
"4","Balai Fidget Spinner Toy Glowing Hand Spinner Perfect For ADD, ADHD, Anxiety, and Stress Relief (Fluorescence)","Balai","$2.80","Toys & Games","4","6,451","$18,063","47","4","Merch","B06XD94N9B","https://www.amazon.com/dp/B06XD94N9B"
"5","Fidget Spinner Toy Stress Reducer High Speed Bearing- Perfect For ADD, ADHD, Anxiety, and Autism Adult Children","Linne","$2.52","Sports & Outdoors","67","3,080","$7,762","6","4","Merch","B06XFCJR48","https://www.amazon.com/dp/B06XFCJR48"
"6","Fidget Spinner Toy Stress Reducer - Perfect For ADD, ADHD, Anxiety, and Autism Adult Children","Diageng","$2.22","Toys & Games","6","5,930","$13,165","9","4","Merch","B06XQP2Y3J","https://www.amazon.com/dp/B06XQP2Y3J"
"7","FINGER SPINNER Rainbow Color 2 Sides Fidget Spinner Toy Relieve Stress High Speed Focus Toy for Killing Time (Rainbow)","FINGER SPINNER","$3.80","Toys & Games","7","5,737","$21,801","23","3","Merch","B06XR6NPQN","https://www.amazon.com/dp/B06XR6NPQN"
"8","Meishatong Anti-Spinner New Style Fidget Hand Spinner Stress Relief Anxiety Stress Relief Toy (Multi-Colour)","ANTI-SPINNER","$3.16","Toys & Games","8","5,573","$17,611","13","3","Merch","B06XQFTQR9","https://www.amazon.com/dp/B06XQFTQR9"
"9","Hatchimals - CollEGGtibles - 4-Pack + Bonus (Styles & Colors May Vary) by Spin Master","Hatchimals","$9.99","Toys & Games","9","5,430","$54,246","N.A.","N.A.","AMZ","B01LXRU4E1","https://www.amazon.com/dp/B01LXRU4E1"
"10","Tom's Fidgets Omega Tri-Spinner Fidget Toy, Black","Tom's Fidgets","$2.09","Toys & Games","10","5,304","$11,085","28","3","Merch","B06XNPZ5MG","https://www.amazon.com/dp/B06XNPZ5MG"
"11","Oliasports Fidget Cube Relieves Stress & Anxiety, Black","Oliasports","$2.13","Toys & Games","11","5,191","$11,057","968","3","Merch","B01N3UN0QE","https://www.amazon.com/dp/B01N3UN0QE"
"12","Ratoop Fidget Cube Relieves Stress and Anxiety Attention Toy for Work, Class, Home","Ratoop","$2.27","Sports & Outdoors","241","2,104","$4,776","123","3.5","Merch","B01MR8FWC5","https://www.amazon.com/dp/B01MR8FWC5"
"13","Hand Spinner, BESTTY Metal 3D Ultra Durable Triangle Hand Spinner EDC Fidget Spinner Toy Fingertip Gyro for For ADD, ADHD, Anxiety, Made High Speed - Up to 5 Mins (Black)","BESTTY","$3.40","Toys & Games","13","4,996","$16,986","8","3.5","Merch","B06XSCTY4B","https://www.amazon.com/dp/B06XSCTY4B"
"14","Fidgeteer Fidget Spinner EDC Toy | Anxiety and Stress Relief | Si3N4 Ceramic Bearings | Black","Fidgeteer","$10.99","Toys & Games","14","4,911","$53,972","602","4.5","FBA","B06XHRSCJJ","https://www.amazon.com/dp/B06XHRSCJJ"
"15","Oliasports 6-Sides Relieves Stress & Anxiety for Children & Adults Anxiety Attention Toy","Oliasports","$2.12","Toys & Games","15","4,832","$10,244","87","3.5","Merch","B01NAPMXLF","https://www.amazon.com/dp/B01NAPMXLF"
"16","Spinner Fidget High Speed Tri-Spinner Fidget Toy Stress Reducer With Premium Bearing Hand Fidget Spinner Perfect For ADD, ADHD, Anxiety, and Autism Adult Children(Black)","Open Up To Love","$8.99","Toys & Games","16","4,759","$42,783","79","4","FBA","B06W2PJC54","https://www.amazon.com/dp/B06W2PJC54"
"17","GongFu Star Fidget Spinner Toy Time Killer Perfect to relieve ADHD Anxiety Reduce Stress Helps Focus (Blue)","GongFu Star","$2.20","Toys & Games","17","4,691","$10,320","19","3.5","Merch","B06WRNP43S","https://www.amazon.com/dp/B06WRNP43S"
"18","Fidget Spinner,Viyaabang Hand Spinner ,Tri-Spinner Fidget Toys for Adult and Kids -Perfect for ADD,ADHD,and Anxiety.(Green)","viyaabang","$3.20","Toys & Games","18","4,628","$14,810","21","4.5","Merch","B06XJP13WH","https://www.amazon.com/dp/B06XJP13WH"
"19","Fidget Spinner with hybrid ceramic ball bearings for a smooth, quiet spin that doesn't stop. Perfect for people with ADD, ADHD, anxiety, sensory processing disorder or any fidgeting.","Wiggle Worm","$2.15","Toys & Games","19","4,568","$9,821","124","4","Merch","B01MS4TLMM","https://www.amazon.com/dp/B01MS4TLMM"
"20","Cards Against Humanity","Cards Against Humanity LLC.","$25.00","Toys & Games","20","4,511","$112,775","36179","5","FBA","B004S8F7QM","https://www.amazon.com/dp/B004S8F7QM"